# Dynamical information [code units]
#1:t #2:Dt #3:tcount #4:N #5:M #6:VR #7:N_c #8:r_c #9:r_max #10:Etot #11:KE #12:PE #13:Etot_int #14:Etot_bin #15:E_cenma #16:Eesc #17:Ebesc #18:Eintesc #19:Eoops #20:Etot+Eoops #21:r_h #22:rho_0 #23:rc_spitzer #24:v0_rms #25:rc_nb #26.DMse(MSUN) #27.DMrejuv(MSUN) #28.N_c_nb
6.239667e-05 7.7434633e-07 29 399907 0.99614041 1.0020023 44490.387 0.35956334 7.341721 -1.1697306 0.24834976 -0.49570698 0 -0.92245827 0 8.5716798e-05 -7.9511232e-07 0 0 -1.1697306 0.80953077 7.282593 0.15060018 0.83178833 0.29724732 0 0 25135.863
6.4624969e-05 2.2282987e-06 30 399907 0.995937 1.0014354 41493.998 0.36025783 7.9008767 -1.166064 0.24790792 -0.49510515 0 -0.91895169 0 8.5716798e-05 -7.9511232e-07 0 0 -1.166064 0.81134916 6.5503838 0.15855958 0.83055839 0.31202025 0 0 26958.352
6.7683464e-05 3.0584952e-06 31 399903 0.99563502 1.0003868 41664.708 0.36241016 6.8912422 -1.1608008 0.24716342 -0.49413571 0 -0.91392049 0 9.2815607e-05 -7.9511232e-07 0 0 -1.1608008 0.81248311 6.2804721 0.16191193 0.83046111 0.31990789 0 0 28657.751
6.9283687e-05 1.6002234e-06 32 399901 0.99547278 1.0025889 39962.526 0.36233247 7.4798907 -1.1579391 0.24813229 -0.49498312 0 -0.91118312 0 9.5624666e-05 -7.9511232e-07 0 0 -1.1579391 0.81972958 5.8914401 0.16693563 0.82928553 0.31347493 0 0 25878.531
7.1905006e-05 2.6213188e-06 33 399896 0.99519349 1.0008204 53025.389 0.35509169 8.1319415 -1.1530764 0.24704385 -0.4936827 0 -0.90653733 0 0.00010053043 -7.9511232e-07 0 0 -1.1530764 0.81432395 9.3744871 0.13373702 0.83804955 0.26467474 0 0 21958.354
7.4478677e-05 2.5736709e-06 34 399894 0.99490637 0.99909721 48020.367 0.35522047 7.9193371 -1.1480893 0.24597799 -0.49240051 0 -0.90176853 0 0.00010265091 -8.7546672e-07 0 0 -1.1480893 0.81962826 7.4640247 0.14886099 0.83236106 0.28701943 0 0 25331.764
7.6498719e-05 2.0200419e-06 35 399891 0.99467128 0.99531229 39457.84 0.36395165 7.7184262 -1.1440233 0.24394108 -0.49017997 0 -0.89788753 0 0.00010397471 -8.7546672e-07 0 0 -1.1440233 0.82088051 5.3986741 0.17411951 0.82800944 0.31964153 0 0 26729.561
8.1042208e-05 4.5434889e-06 36 399885 0.99411009 0.99420876 41171.623 0.36578789 8.7216559 -1.1344017 0.24297824 -0.48878717 0 -0.88870022 0 0.00010836331 -8.7546672e-07 0 0 -1.1344017 0.82269733 5.4767209 0.17243932 0.82592557 0.32533736 0 0 28967.556
8.2137298e-05 1.09509e-06 37 399883 0.99396773 0.99821046 43670.184 0.36774868 7.9781378 -1.1319844 0.24482649 -0.4905308 0 -0.88639229 0 0.00011309278 -8.7546672e-07 0 0 -1.1319844 0.81805292 5.800409 0.16674305 0.82190451 0.31594376 0 0 27692.427
8.430227e-05 2.1649729e-06 38 399878 0.99367733 1.00231 43896.82 0.36384091 8.0017453 -1.1270946 0.24661805 -0.49209936 0 -0.88172867 0 0.00011626071 -8.7546672e-07 0 0 -1.1270946 0.81448803 6.7687707 0.15493163 0.82497216 0.30343404 0 0 25461.933
8.76539e-05 3.3516293e-06 39 399872 0.99319734 1.000034 48699.647 0.36074379 9.0172957 -1.1192683 0.24513621 -0.49025573 0 -0.87426684 0 0.00011897698 -8.7882633e-07 0 0 -1.1192683 0.81689393 7.6869235 0.14594678 0.82816164 0.28910123 0 0 25065.654
